 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,0.064,0.966,0.367,326,12,18.435,0.260
2,0.400,2.451,0.884,135,33,66.801,0.643
3,0.067,1.021,0.395,131,60,11.310,0.271
4,0.073,1.076,0.433,221,80,153.435,0.257
5,0.094,1.649,0.550,198,83,129.289,0.369
6,0.162,1.823,0.698,236,86,146.310,0.421
7,0.091,1.217,0.521,213,96,41.987,0.274
8,0.204,2.165,0.835,199,104,13.392,0.392
9,0.910,3.974,1.260,218,117,169.380,1.094
10,0.084,1.021,0.419,73,119,33.690,0.301
11,0.094,1.153,0.468,161,132,155.556,0.304
12,0.921,5.856,1.520,104,160,14.744,1.106
13,0.072,1.066,0.383,94,208,135.000,0.299
14,0.121,1.440,0.519,124,216,26.565,0.387
15,0.127,1.527,0.591,284,224,58.392,0.329
16,0.482,2.857,1.117,159,239,14.036,0.641
17,0.114,1.440,0.554,234,239,114.775,0.348
18,0.680,3.363,1.224,349,254,161.565,0.804
19,0.136,1.504,0.554,333,282,155.225,0.384
20,0.617,2.948,1.042,1005,287,111.801,0.813
21,0.162,1.955,0.612,859,309,145.305,0.493
22,1.056,3.982,1.372,434,345,49.574,1.073
23,1.425,4.971,1.776,593,348,11.310,1.033
24,0.539,2.761,0.977,544,353,56.310,0.732
25,1.548,5.359,2.007,664,414,70.866,1.189
26,0.118,1.340,0.526,1145,383,17.103,0.310
27,0.106,1.208,0.451,626,393,120.964,0.343
28,0.187,1.613,0.589,591,434,23.199,0.472
29,0.147,1.449,0.580,553,440,36.870,0.381
30,0.069,0.911,0.346,867,442,63.435,0.271
31,0.096,1.108,0.404,689,435,106.699,0.348
32,0.081,1.121,0.466,488,437,131.634,0.301
33,0.470,2.557,0.897,648,447,172.569,0.766
34,0.073,1.021,0.404,547,466,163.301,0.271
35,0.410,2.461,0.942,825,477,19.179,0.644
36,0.322,2.233,0.857,566,504,71.565,0.527
37,0.075,1.021,0.367,625,501,71.565,0.310
38,0.305,2.474,0.859,546,524,54.162,0.535
39,0.253,2.206,0.744,587,511,117.897,0.559
40,0.210,1.691,0.580,680,518,126.870,0.520
41,0.349,2.306,0.882,608,524,105.255,0.607
42,0.072,0.966,0.367,580,529,161.565,0.271
43,0.168,1.572,0.606,990,656,153.435,0.384
44,0.199,2.119,0.797,988,676,150.945,0.478
45,0.076,1.044,0.365,32,787,122.005,0.310
46,0.801,4.033,1.395,885,834,109.440,0.906
47,0.079,1.021,0.395,165,844,168.690,0.271
48,0.225,2.214,0.893,2,871,107.650,0.348
49,0.484,3.212,1.022,160,910,142.696,0.760
50,0.873,5.578,1.850,207,927,164.219,1.013
51,0.147,1.549,0.606,1177,1000,63.435,0.340
52,0.102,1.472,0.575,196,1052,70.346,0.355
53,0.196,1.691,0.589,310,1045,113.199,0.464
54,0.135,1.353,0.466,178,1084,131.634,0.387
55,0.160,1.623,0.640,973,1091,154.983,0.383
56,0.141,1.887,0.713,288,1124,40.601,0.410
57,0.061,0.911,0.387,272,1111,143.130,0.246
58,0.413,2.461,0.820,970,1120,109.290,0.741
59,0.103,1.363,0.558,208,1173,33.690,0.319
60,0.124,1.782,0.751,243,1186,78.111,0.254
61,0.478,3.359,0.989,213,1197,30.579,0.871
62,0.111,1.372,0.558,266,1202,33.690,0.326
63,0.129,1.778,0.701,238,1200,96.340,0.310
64,0.118,1.846,0.692,76,1201,116.565,0.347
65,0.293,2.712,0.833,10,1232,68.199,0.678
66,0.109,1.253,0.485,1085,1221,28.610,0.348
67,0.165,1.800,0.638,45,1216,104.036,0.422
68,0.879,8.628,1.953,67,1226,146.310,1.122
69,0.069,1.217,0.441,60,1240,105.255,0.299
70,1.139,4.529,1.710,1124,1253,5.194,1.045
71,0.702,4.510,1.309,273,1260,18.970,0.813
72,0.106,1.855,0.547,94,1273,45.000,0.413
73,1.347,6.945,1.867,324,1296,174.053,1.374
74,0.075,1.021,0.395,287,1317,101.310,0.271
75,0.145,1.559,0.538,336,1317,120.256,0.445
76,0.261,2.261,0.744,286,1329,117.897,0.580
77,0.808,3.682,1.343,690,1423,78.366,0.890
78,0.066,1.176,0.479,604,1403,75.964,0.232
79,0.070,1.153,0.417,592,1400,21.801,0.306
80,0.169,1.617,0.580,591,1414,126.870,0.441
