 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.156,4.544,1.777,0,50,53.499,1.086
2,1.113,5.044,1.492,489,31,36.431,1.143
3,0.103,1.299,0.534,152,12,164.476,0.286
4,0.090,1.289,0.515,326,56,146.310,0.268
5,0.465,3.362,0.967,203,74,145.840,0.857
6,1.021,4.051,1.241,397,71,128.454,1.123
7,1.560,6.414,1.817,432,122,36.690,1.326
8,0.096,1.225,0.465,516,102,79.380,0.314
9,0.165,1.874,0.757,63,100,169.114,0.366
10,0.084,1.572,0.586,20,98,136.975,0.303
11,4.790,15.143,3.175,642,212,74.338,2.565
12,0.260,2.460,0.950,704,111,173.089,0.451
13,0.420,3.820,1.196,267,118,139.844,0.694
14,0.135,2.033,0.701,312,148,78.232,0.423
15,0.087,1.134,0.425,386,147,109.654,0.318
16,0.167,1.884,0.589,66,166,50.906,0.510
17,0.085,1.256,0.432,293,167,97.595,0.329
18,0.250,2.803,0.951,194,170,122.735,0.606
19,0.183,2.443,0.741,578,196,27.553,0.499
20,0.085,1.346,0.542,45,189,108.435,0.257
21,0.140,2.198,0.665,54,212,25.463,0.457
22,0.163,1.665,0.652,736,204,142.125,0.429
23,0.125,1.403,0.534,576,205,105.524,0.314
24,0.093,1.377,0.487,315,230,139.764,0.329
25,0.124,1.444,0.537,516,265,64.799,0.341
26,0.080,1.306,0.416,704,253,105.945,0.314
27,0.298,2.352,0.777,605,260,107.103,0.619
28,0.379,3.540,0.991,480,298,33.232,0.676
29,0.157,1.518,0.550,272,281,152.103,0.434
30,0.204,2.578,0.886,246,293,159.228,0.441
31,0.110,1.444,0.465,288,299,169.380,0.370
32,0.107,1.306,0.537,670,296,115.201,0.311
33,3.330,7.501,2.640,72,299,99.972,1.653
34,0.134,1.403,0.479,379,304,107.354,0.398
35,0.803,4.867,1.452,576,305,100.204,1.053
36,1.759,8.622,2.179,275,326,106.771,1.386
37,2.988,14.293,3.438,325,448,63.861,1.774
38,0.100,1.256,0.452,256,364,108.435,0.320
39,2.232,8.086,2.218,241,381,111.938,1.687
40,0.127,1.403,0.492,36,413,144.462,0.383
41,0.096,1.252,0.500,1073,429,149.036,0.305
42,0.188,1.945,0.679,1050,467,75.379,0.509
43,0.225,2.060,0.802,334,451,94.086,0.429
44,0.121,1.366,0.534,1061,469,15.524,0.286
45,0.173,1.945,0.723,1167,494,80.910,0.457
46,0.090,1.161,0.461,1079,497,119.745,0.292
47,0.158,1.874,0.674,1153,517,53.616,0.395
48,0.094,1.161,0.452,1080,528,55.305,0.298
49,0.181,2.043,0.777,1019,525,17.103,0.433
50,0.216,2.305,0.837,1115,548,82.147,0.424
51,0.082,1.144,0.445,1068,545,45.000,0.303
52,0.429,3.554,1.067,993,570,7.696,0.812
53,0.497,2.955,1.024,1116,579,67.011,0.745
54,0.116,1.323,0.492,78,547,125.538,0.364
55,0.553,4.284,1.367,1081,599,79.160,0.820
56,0.154,1.770,0.627,1477,587,59.931,0.404
57,0.138,1.653,0.653,558,585,23.199,0.332
58,0.208,2.474,0.701,543,598,11.768,0.533
59,0.560,3.366,1.082,1632,648,167.800,0.849
60,0.136,1.525,0.606,1130,638,135.000,0.343
61,0.097,1.299,0.499,1427,647,166.759,0.286
62,0.083,1.134,0.409,1557,656,24.775,0.343
63,0.122,2.312,0.652,1418,656,105.255,0.486
64,0.125,1.541,0.578,1436,668,171.469,0.371
65,0.086,1.289,0.471,407,700,75.964,0.293
66,0.160,1.865,0.611,402,731,79.216,0.452
67,0.197,2.433,0.673,1513,722,12.265,0.556
68,0.122,1.323,0.479,1161,721,107.354,0.371
69,0.086,1.111,0.409,543,723,114.775,0.341
70,0.162,1.743,0.633,1177,726,161.565,0.427
71,0.183,1.888,0.658,1119,727,124.380,0.485
72,0.082,1.094,0.389,1143,737,126.027,0.317
73,0.258,2.369,0.908,203,748,118.179,0.543
74,0.298,2.426,0.818,1158,773,12.095,0.676
75,0.123,2.060,0.696,1150,769,109.179,0.422
76,0.297,2.743,0.946,1781,802,61.113,0.512
77,0.354,3.318,0.952,1234,807,48.652,0.749
78,0.732,6.779,2.086,1903,850,66.595,0.791
79,1.815,5.462,1.808,190,852,84.560,1.444
80,0.083,1.467,0.492,240,790,125.538,0.357
81,0.154,1.598,0.639,1277,794,169.695,0.365
82,1.433,5.816,2.487,0,884,88.683,0.857
83,0.273,2.231,0.750,215,804,162.255,0.588
84,1.117,4.368,1.457,127,834,154.440,1.131
85,0.081,1.272,0.473,232,833,64.983,0.283
86,0.129,1.363,0.525,1056,895,60.642,0.358
87,5.543,23.795,4.489,281,1056,87.811,2.988
88,0.443,2.890,0.992,1253,907,168.366,0.695
89,0.410,4.008,1.296,1528,949,41.424,0.704
90,0.262,2.467,0.801,116,939,34.824,0.531
91,0.088,1.249,0.422,229,938,61.699,0.319
92,4.138,13.979,4.346,1894,1075,76.695,1.543
93,13.244,28.046,7.732,0,948,152.488,3.307
94,0.104,1.427,0.527,1867,957,12.529,0.343
95,0.103,1.339,0.515,366,953,123.690,0.343
96,0.132,1.686,0.550,1844,963,117.897,0.386
97,0.082,1.192,0.500,365,973,149.036,0.283
98,0.113,1.541,0.586,1475,974,136.975,0.364
99,0.619,4.025,1.213,221,1015,43.091,0.760
100,0.112,1.403,0.485,689,1009,135.000,0.393
101,0.154,1.760,0.706,1618,1010,158.629,0.315
102,0.256,2.053,0.717,1723,1019,175.426,0.485
103,1.420,9.159,2.224,1668,1019,115.907,1.353
104,0.294,3.856,1.241,1602,1055,28.926,0.508
105,0.092,1.363,0.473,1798,1056,154.983,0.334
106,0.490,3.449,1.113,1286,1064,131.878,0.828
107,0.097,1.558,0.525,1715,1068,157.620,0.346
108,0.458,5.640,1.393,1651,1080,164.539,0.661
109,0.121,1.403,0.550,1775,1086,171.027,0.325
110,0.354,4.543,1.433,1432,1112,23.499,0.518
111,0.085,1.201,0.473,1904,1094,154.983,0.267
112,0.141,1.710,0.569,864,1108,162.474,0.412
113,0.113,1.656,0.579,1781,1122,20.225,0.352
114,0.199,2.733,0.886,315,1118,159.228,0.481
115,0.373,3.849,1.407,1674,1126,5.826,0.537
116,0.102,1.565,0.506,204,1129,106.390,0.384
117,0.104,1.410,0.561,1793,1167,14.744,0.303
118,0.125,1.491,0.552,534,1172,21.251,0.373
119,0.223,2.157,0.743,1738,1166,112.620,0.457
120,0.176,1.696,0.624,1714,1177,164.055,0.451
121,0.100,1.265,0.486,502,1172,151.928,0.353
122,0.167,3.194,0.818,789,1208,77.905,0.486
123,0.201,1.955,0.776,1883,1193,6.340,0.371
124,0.111,1.356,0.515,1699,1193,160.560,0.340
125,0.086,1.282,0.486,194,1196,151.928,0.298
126,0.094,1.225,0.452,1743,1199,161.565,0.314
127,0.228,1.929,0.667,525,1213,170.134,0.505
128,0.136,2.050,0.809,564,1210,132.138,0.316
129,0.187,3.063,1.010,814,1210,151.260,0.520
130,0.210,2.645,0.780,1683,1210,151.557,0.468
131,0.183,2.003,0.754,1734,1238,37.304,0.387
132,1.795,6.313,1.907,300,1224,109.250,1.622
133,0.243,2.117,0.818,457,1227,114.775,0.477
134,0.176,2.329,0.922,1688,1229,172.875,0.314
135,0.085,1.434,0.500,760,1249,149.036,0.286
136,0.087,1.306,0.527,958,1246,139.399,0.303
137,0.082,1.299,0.515,1745,1255,19.440,0.292
138,0.140,1.501,0.527,1907,1253,167.471,0.390
139,0.117,1.363,0.567,611,1253,130.914,0.303
140,0.283,2.329,0.754,626,1270,155.376,0.571
141,0.222,3.548,1.263,254,1277,142.352,0.419
142,0.225,2.628,0.757,818,1289,10.886,0.518
143,0.110,1.467,0.546,303,1280,96.009,0.351
