 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.072,4.840,1.489,673,30,5.826,1.101
2,0.150,1.734,0.731,1151,41,60.255,0.338
3,0.047,0.883,0.394,1172,36,57.529,0.192
4,0.048,0.816,0.321,1035,37,41.186,0.235
5,0.043,0.823,0.326,1100,53,21.801,0.230
6,0.041,0.841,0.385,966,62,45.000,0.171
7,0.037,0.737,0.302,917,62,36.870,0.192
8,0.358,3.052,1.179,978,98,67.380,0.599
9,0.058,0.926,0.382,668,70,18.435,0.239
10,0.041,0.780,0.311,757,75,29.055,0.214
11,0.038,0.773,0.342,876,82,45.000,0.192
12,0.058,0.919,0.364,951,83,41.634,0.248
13,0.069,1.012,0.387,1090,87,38.660,0.278
14,0.042,0.798,0.321,856,92,41.186,0.212
15,0.350,3.322,1.112,1089,121,67.620,0.682
16,0.033,0.737,0.327,603,96,33.690,0.168
17,0.044,0.901,0.342,897,103,45.000,0.214
18,0.032,0.695,0.302,848,104,36.870,0.168
19,0.109,1.304,0.488,842,108,97.125,0.363
20,0.175,1.983,0.756,1158,136,73.740,0.390
21,0.187,1.805,0.676,1091,148,63.435,0.454
22,0.128,1.470,0.584,1145,152,68.749,0.333
23,0.047,0.798,0.321,1108,150,41.186,0.214
24,0.055,0.894,0.345,1209,143,105.255,0.212
25,0.035,0.695,0.302,1118,156,36.870,0.171
26,0.123,1.485,0.587,790,166,34.509,0.330
27,0.169,1.991,0.717,1191,171,27.646,0.428
28,0.037,0.798,0.327,1117,193,33.690,0.189
29,0.079,1.133,0.433,1053,203,65.225,0.302
30,0.041,0.780,0.311,1056,210,29.055,0.214
31,0.050,0.876,0.364,1133,223,48.366,0.230
32,0.054,0.866,0.342,1023,224,45.000,0.235
33,0.059,0.908,0.354,1190,222,19.983,0.257
34,0.037,0.737,0.299,1055,231,45.000,0.192
35,0.051,0.901,0.387,806,240,38.660,0.214
36,0.102,1.389,0.558,1010,242,12.529,0.302
37,0.059,0.936,0.398,1094,241,8.746,0.181
38,0.100,1.407,0.472,1169,253,50.194,0.345
39,0.078,1.432,0.528,908,259,66.371,0.272
40,0.066,1.022,0.428,745,258,45.000,0.252
41,0.045,0.823,0.298,984,254,23.962,0.228
42,0.049,0.805,0.311,864,266,29.055,0.235
43,0.050,0.833,0.345,756,275,52.125,0.235
44,0.111,1.382,0.562,1182,285,53.746,0.285
45,0.062,1.122,0.472,1130,289,39.806,0.205
46,0.113,1.553,0.555,970,297,29.358,0.363
47,0.035,0.816,0.345,1046,303,74.745,0.172
48,0.054,0.876,0.364,892,310,48.366,0.230
49,0.065,0.961,0.369,961,311,55.008,0.272
50,0.161,1.752,0.609,1025,323,63.435,0.423
51,0.121,1.492,0.600,869,337,49.086,0.311
52,0.039,0.816,0.302,838,331,36.870,0.212
53,0.038,0.876,0.345,843,338,37.875,0.201
54,0.077,1.072,0.433,1184,339,24.775,0.272
55,0.254,2.792,1.005,828,344,111.161,0.424
56,0.041,0.762,0.316,958,356,16.699,0.212
57,0.071,1.389,0.620,966,367,46.975,0.214
58,0.038,0.773,0.302,1157,364,36.870,0.206
59,0.141,1.923,0.623,776,362,140.906,0.434
60,0.039,0.816,0.302,1206,379,53.130,0.212
61,0.038,0.816,0.354,869,387,19.983,0.181
62,0.048,0.926,0.393,763,398,22.620,0.212
63,0.062,0.961,0.387,826,404,51.340,0.257
64,0.032,0.737,0.302,977,403,36.870,0.184
65,0.051,0.823,0.311,853,419,29.055,0.252
66,0.056,0.901,0.321,691,422,41.186,0.253
67,0.067,1.115,0.446,890,427,61.699,0.253
68,0.111,1.596,0.584,921,433,68.749,0.349
69,0.064,1.054,0.374,892,446,75.964,0.272
70,0.030,0.695,0.285,835,445,57.995,0.187
71,0.087,1.143,0.454,866,456,53.130,0.308
72,0.059,1.079,0.411,1195,460,53.973,0.235
73,0.064,1.029,0.433,1054,458,24.775,0.242
74,0.136,2.098,0.814,990,478,41.987,0.303
75,0.081,1.475,0.684,597,479,45.000,0.202
76,0.042,0.833,0.364,464,478,41.634,0.203
77,0.112,1.417,0.578,895,500,47.121,0.335
78,1.098,4.448,1.483,555,494,101.768,1.028
79,0.141,1.649,0.582,1001,504,27.897,0.397
80,0.075,1.065,0.406,1183,505,26.565,0.297
81,0.039,0.798,0.311,771,511,60.945,0.212
82,0.083,1.296,0.433,1148,524,167.905,0.361
83,0.057,0.894,0.369,735,535,34.992,0.242
84,0.041,0.755,0.311,853,535,29.055,0.210
85,0.058,1.072,0.470,522,542,45.000,0.212
86,0.042,0.755,0.321,988,540,41.186,0.214
87,0.045,0.780,0.316,837,538,16.699,0.212
88,0.039,0.805,0.327,1110,543,33.690,0.192
89,0.112,1.399,0.565,887,546,15.524,0.296
90,0.049,0.841,0.365,484,546,24.444,0.212
91,0.040,0.858,0.387,943,550,51.340,0.192
92,0.042,0.805,0.316,758,548,16.699,0.214
93,0.032,0.737,0.321,1074,553,48.814,0.171
94,0.059,0.944,0.327,1030,555,33.690,0.272
95,0.061,0.944,0.369,980,566,34.992,0.272
96,0.065,0.987,0.338,873,570,26.565,0.302
97,0.066,1.140,0.488,1092,574,29.745,0.257
98,0.070,0.997,0.407,692,578,48.013,0.272
99,0.039,0.737,0.270,761,589,63.435,0.230
100,0.060,0.944,0.379,816,597,61.390,0.257
101,0.079,1.596,0.556,1006,606,67.620,0.265
102,0.052,0.901,0.354,935,592,160.017,0.242
103,0.046,0.816,0.298,1102,594,156.038,0.242
104,0.046,0.901,0.369,862,603,34.992,0.210
105,0.163,1.709,0.676,819,610,26.565,0.393
106,0.159,1.596,0.556,726,621,67.620,0.411
107,0.042,0.891,0.411,767,616,36.027,0.171
108,0.085,1.211,0.507,761,628,17.354,0.268
109,0.045,0.833,0.338,872,631,10.305,0.181
110,0.030,0.737,0.342,947,638,45.000,0.143
111,0.276,2.343,0.766,778,644,170.910,0.635
112,0.050,0.866,0.311,1140,639,29.055,0.230
113,0.052,0.908,0.379,295,643,28.610,0.218
114,0.109,1.691,0.582,865,639,171.027,0.333
115,0.054,0.926,0.369,1010,657,34.992,0.230
116,0.043,0.901,0.369,947,662,34.992,0.235
117,0.130,1.656,0.638,992,678,58.570,0.355
118,0.072,1.425,0.496,836,675,52.431,0.299
119,0.062,0.969,0.354,698,679,70.017,0.266
120,0.077,1.186,0.436,702,695,56.310,0.269
121,0.092,1.208,0.428,826,690,8.130,0.321
122,0.051,0.841,0.327,345,694,33.690,0.235
123,0.040,0.919,0.382,725,693,18.435,0.181
124,0.047,0.883,0.387,876,701,38.660,0.192
125,0.058,0.951,0.394,895,707,32.471,0.226
126,0.117,1.382,0.503,815,714,57.265,0.377
127,0.047,0.901,0.407,972,712,41.987,0.192
128,0.076,1.107,0.446,390,719,61.699,0.272
129,0.050,0.866,0.369,774,715,34.992,0.210
130,0.079,1.150,0.450,1104,718,42.274,0.278
131,0.108,1.332,0.541,904,713,153.435,0.323
132,0.058,0.969,0.382,696,724,18.435,0.216
133,0.124,1.845,0.631,888,721,106.699,0.387
134,0.054,0.987,0.450,661,732,42.274,0.192
135,0.050,0.961,0.411,779,731,36.027,0.184
136,0.042,0.823,0.353,1072,733,30.964,0.187
137,0.057,0.987,0.365,176,735,24.444,0.252
138,0.044,0.841,0.364,908,744,48.366,0.192
139,0.033,0.677,0.270,988,741,26.565,0.192
140,0.074,1.022,0.379,466,749,61.390,0.302
141,0.042,0.823,0.345,798,746,37.875,0.201
142,0.052,0.908,0.387,689,748,38.660,0.214
143,0.051,0.961,0.369,964,746,34.992,0.212
144,0.049,0.901,0.353,1197,749,59.036,0.242
145,0.129,1.329,0.499,1064,749,14.036,0.393
146,0.059,1.208,0.535,799,756,42.709,0.189
147,0.191,2.193,0.879,1210,745,93.945,0.423
148,0.180,1.727,0.690,643,761,37.875,0.444
149,1.543,5.865,1.851,974,796,38.367,1.391
150,0.046,0.816,0.302,518,760,36.870,0.229
151,0.079,1.122,0.411,606,756,107.103,0.321
152,0.034,0.773,0.338,1131,768,26.565,0.161
153,0.088,1.699,0.499,846,771,14.036,0.337
154,0.048,0.833,0.345,635,777,52.125,0.230
155,0.095,1.218,0.501,591,778,25.017,0.285
156,0.089,1.236,0.496,786,781,37.569,0.287
157,0.046,0.866,0.365,537,780,24.444,0.189
158,0.051,1.004,0.374,924,779,14.036,0.239
159,0.056,0.908,0.327,727,785,56.310,0.242
160,0.063,1.079,0.382,912,789,161.565,0.298
161,0.101,1.253,0.536,829,797,16.390,0.272
162,0.150,1.435,0.529,628,806,59.036,0.393
163,0.048,0.798,0.311,505,801,29.055,0.230
164,0.107,1.435,0.473,744,827,26.565,0.393
165,0.030,0.720,0.302,720,826,53.130,0.150
166,0.042,0.798,0.302,772,829,53.130,0.226
167,0.040,0.823,0.345,607,834,37.875,0.192
168,0.048,0.883,0.369,526,839,34.992,0.203
169,0.095,1.307,0.517,335,850,69.444,0.266
170,0.081,1.168,0.450,565,847,47.726,0.297
171,0.049,0.876,0.369,489,847,55.008,0.226
172,0.042,0.823,0.345,635,846,52.125,0.192
173,0.091,1.175,0.433,577,846,167.905,0.333
174,0.053,0.866,0.316,443,856,16.699,0.257
175,0.098,1.236,0.492,637,869,47.490,0.321
176,0.080,1.417,0.536,708,873,73.610,0.257
177,0.073,1.158,0.503,524,873,32.735,0.225
178,0.091,1.304,0.428,625,870,98.130,0.333
179,0.043,0.841,0.364,451,883,48.366,0.192
180,0.032,0.695,0.298,219,881,23.962,0.168
181,0.037,0.755,0.285,216,895,32.005,0.226
182,0.210,2.358,0.807,731,890,102.995,0.518
183,0.048,1.090,0.354,249,907,70.017,0.249
184,0.113,1.425,0.605,692,911,36.870,0.285
185,0.060,1.082,0.473,595,911,26.565,0.220
186,0.031,0.720,0.285,738,926,57.995,0.189
