 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.260,5.675,2.262,156,9,6.419,0.871
2,0.146,2.068,0.702,1258,0,126.870,0.450
3,0.159,2.160,0.915,1732,6,10.620,0.281
4,1.982,8.072,2.781,1980,0,156.801,1.377
5,0.107,1.604,0.503,1736,24,26.565,0.415
6,4.813,13.548,3.307,1960,28,96.340,2.347
7,0.341,3.345,1.119,1722,52,17.526,0.647
8,0.226,2.912,1.099,1760,77,57.529,0.402
9,0.351,2.287,0.838,1894,88,13.570,0.631
10,3.230,8.987,3.489,1659,172,40.101,1.580
11,0.140,1.422,0.516,1851,123,112.380,0.356
12,1.335,4.771,1.658,214,162,169.261,1.211
13,1.383,6.042,2.287,1770,220,37.011,0.858
14,7.730,18.947,4.574,212,207,152.176,2.830
15,0.310,2.187,0.784,2020,221,75.466,0.534
16,0.142,1.714,0.628,1580,225,63.435,0.372
17,0.123,1.724,0.596,2011,272,8.130,0.393
18,0.319,2.236,0.767,281,287,156.251,0.610
19,0.223,2.068,0.795,2130,306,45.000,0.424
20,0.125,2.261,0.867,750,318,155.095,0.319
21,0.143,2.720,0.702,805,312,106.260,0.448
22,0.777,3.579,1.169,246,317,144.782,0.955
23,0.170,1.604,0.554,78,337,30.466,0.449
24,3.885,8.588,2.802,129,380,164.291,2.018
25,0.569,3.798,1.296,209,346,119.899,0.900
26,0.864,3.858,1.489,2071,393,35.789,0.743
27,4.353,8.936,3.054,67,391,152.021,2.082
28,1.585,5.207,1.838,1299,398,141.203,1.351
29,0.346,3.438,0.993,773,411,151.260,0.792
30,0.185,2.439,0.799,2017,426,140.711,0.400
31,0.259,2.339,0.759,887,464,38.991,0.541
32,0.581,4.073,1.180,231,451,141.766,0.944
33,0.155,1.506,0.552,145,515,165.256,0.405
34,1.649,7.381,2.282,773,512,142.001,1.293
35,0.314,2.432,0.951,1452,508,108.970,0.591
36,1.166,7.222,1.972,1396,517,122.784,1.176
37,2.356,7.632,2.308,342,573,176.511,1.678
38,0.150,1.604,0.593,306,535,121.430,0.397
39,0.309,2.409,0.865,1187,576,76.866,0.599
40,0.103,1.244,0.444,1230,573,34.695,0.359
41,0.885,4.287,1.451,1143,588,132.647,1.008
42,0.142,1.635,0.622,439,597,18.435,0.421
43,0.152,1.817,0.805,1502,602,150.751,0.316
44,0.520,3.192,1.084,459,630,36.573,0.860
45,0.580,5.556,1.344,909,602,116.030,0.933
46,0.129,1.350,0.478,422,621,151.928,0.365
47,2.953,9.614,3.353,1145,646,164.450,1.370
48,0.288,2.183,0.820,1562,631,141.953,0.540
49,0.119,2.011,0.773,618,665,160.907,0.319
50,0.338,4.804,1.220,691,688,14.676,0.772
51,1.086,6.849,1.741,1167,673,107.850,1.080
52,0.121,2.584,0.764,734,686,143.973,0.354
53,2.186,6.127,2.249,1199,712,159.528,1.525
54,1.286,5.025,2.023,1701,698,152.723,1.066
55,1.144,5.108,1.759,1295,712,160.408,1.061
56,6.076,12.474,3.782,1797,845,74.932,2.387
57,0.174,2.074,0.709,705,728,123.690,0.449
58,0.180,1.866,0.663,754,748,53.616,0.455
59,0.222,4.483,0.915,1189,748,162.121,0.516
60,0.119,1.572,0.552,1708,742,104.744,0.329
61,2.113,17.365,2.527,1195,827,65.714,1.823
62,3.328,11.411,2.841,685,809,8.531,1.901
63,0.259,2.064,0.748,916,790,124.287,0.534
64,2.323,6.303,2.182,1871,872,11.889,1.583
65,0.176,1.698,0.578,1339,835,119.055,0.474
66,0.114,1.635,0.533,702,854,108.435,0.416
67,0.178,1.644,0.593,190,868,31.430,0.462
68,2.409,6.468,2.262,1836,949,75.619,1.513
69,0.147,1.661,0.656,989,878,99.866,0.335
70,1.559,6.656,1.869,1462,882,137.437,1.405
71,0.327,2.243,0.787,814,913,55.176,0.625
72,2.219,6.053,2.030,1762,895,138.366,1.570
73,0.125,1.354,0.491,679,915,59.036,0.358
74,0.163,1.532,0.540,1435,900,117.897,0.446
75,2.898,7.306,2.617,1119,909,104.931,1.837
76,0.855,5.379,1.967,711,957,158.199,0.891
77,0.175,2.217,0.838,1265,971,166.430,0.393
78,0.893,4.841,1.461,952,974,142.028,0.977
79,1.633,5.170,1.747,1157,1033,62.199,1.293
80,0.136,4.077,0.826,1284,1000,107.819,0.464
81,0.644,3.324,1.144,1369,1069,65.323,0.787
82,0.835,4.650,1.744,1127,1062,14.931,0.674
83,0.927,4.427,1.694,1198,1049,95.711,0.883
84,4.071,9.008,3.086,1103,1149,10.491,2.116
85,1.593,7.275,2.090,858,1172,53.746,1.333
86,0.119,1.261,0.444,610,1120,108.435,0.365
87,0.125,1.387,0.513,795,1153,9.462,0.364
88,3.323,8.288,2.528,1060,1200,14.808,2.020
89,1.022,4.552,1.658,1701,1256,179.029,1.039
90,0.106,2.207,0.791,1913,1233,16.504,0.270
91,0.155,3.110,1.191,2063,1223,160.710,0.279
92,0.595,4.753,1.686,1803,1257,10.561,0.646
93,0.185,3.851,0.938,1944,1243,171.384,0.457
