 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,220.963,62.589,17.606,2202,415,111.834,16.708
2,275.281,82.653,20.977,2652,643,7.858,17.689
3,177.035,52.972,17.979,1817,533,101.107,13.686
4,234.721,61.004,20.486,1003,756,15.945,16.067
5,181.539,52.670,16.772,354,755,157.821,14.159
6,115.920,297.080,18.690,1536,1246,32.586,18.336
7,288.726,67.101,21.806,3049,1185,99.860,18.175
8,254.673,63.116,22.812,2193,1358,149.176,15.982
9,199.350,54.733,16.643,1503,1596,156.019,15.866
10,250.266,64.752,20.804,983,1867,53.995,16.261
11,228.457,64.184,19.165,314,1681,157.417,15.928
