 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,0.160,3.929,1.620,771,8,8.427,0.214
2,0.026,1.072,0.489,753,12,14.036,0.099
3,0.141,1.590,0.567,815,13,137.121,0.374
4,0.063,1.569,0.685,676,29,17.650,0.201
5,0.022,0.573,0.239,548,27,150.255,0.148
6,0.055,1.443,0.629,643,41,19.290,0.144
7,0.023,0.521,0.199,645,43,116.565,0.178
8,0.038,0.741,0.280,6,88,122.005,0.212
9,0.119,1.398,0.491,444,94,154.983,0.379
10,3.006,8.348,2.891,643,105,144.189,1.522
11,0.030,0.657,0.281,954,125,161.565,0.148
12,0.032,0.765,0.346,369,128,149.036,0.156
13,1.406,5.511,1.717,1092,184,71.878,1.346
14,0.365,2.509,0.783,605,162,65.376,0.682
15,0.414,2.541,0.816,320,139,109.093,0.713
16,0.027,0.598,0.226,1148,141,156.801,0.178
17,0.539,3.176,1.088,281,144,115.866,0.824
18,0.264,2.216,0.902,332,166,152.592,0.420
19,0.191,2.038,0.713,1191,171,163.072,0.411
20,0.851,3.875,1.234,681,207,62.819,1.049
21,0.024,0.598,0.274,470,168,139.399,0.141
22,0.489,2.890,0.988,363,173,147.265,0.736
23,3.302,10.131,2.930,780,237,33.851,1.843
24,0.024,0.548,0.232,1143,174,140.194,0.148
25,0.026,0.664,0.297,624,182,143.130,0.159
26,0.608,3.145,1.159,337,208,166.675,0.784
27,0.056,1.035,0.441,1371,204,132.274,0.210
28,0.020,0.640,0.305,58,207,150.945,0.119
29,0.040,0.741,0.321,586,212,146.310,0.208
30,0.032,0.800,0.346,1185,212,149.036,0.159
31,0.026,0.580,0.255,381,217,125.538,0.168
32,1.078,4.661,1.648,1223,217,103.536,1.033
33,0.203,1.904,0.713,378,228,163.072,0.410
34,0.990,4.178,1.425,746,234,125.676,0.975
35,0.028,0.622,0.265,72,234,153.435,0.169
36,0.339,2.761,0.920,221,249,159.228,0.566
37,0.239,2.289,0.790,1260,252,124.287,0.498
38,0.022,0.531,0.232,1124,258,140.194,0.148
39,0.107,1.237,0.479,194,266,158.199,0.336
40,0.042,0.776,0.336,884,264,135.000,0.210
41,0.064,0.951,0.359,79,265,114.444,0.292
42,0.098,1.213,0.494,862,275,122.735,0.315
43,0.145,1.744,0.730,909,276,116.565,0.318
44,0.080,1.244,0.463,1108,286,140.194,0.251
45,0.045,0.825,0.315,884,286,131.186,0.231
46,0.123,1.398,0.526,1199,288,106.390,0.383
47,0.037,0.724,0.280,1245,294,147.995,0.216
48,1.127,5.839,1.970,798,342,37.042,1.147
49,0.043,0.776,0.297,514,303,126.870,0.235
50,0.029,0.632,0.265,953,304,153.435,0.148
51,3.743,12.321,3.770,740,314,118.179,1.898
52,0.060,0.968,0.404,260,321,143.973,0.227
53,0.136,1.422,0.507,943,322,110.556,0.399
54,2.264,7.793,2.456,186,328,133.531,1.504
55,0.030,0.674,0.292,1124,330,23.962,0.148
56,0.116,1.517,0.653,102,330,140.528,0.265
57,0.059,0.961,0.399,921,347,131.987,0.259
58,0.253,2.282,0.824,361,372,30.256,0.546
59,0.040,0.765,0.315,911,361,131.186,0.210
60,0.021,0.538,0.232,919,362,129.806,0.147
61,0.158,1.482,0.547,1156,366,130.601,0.399
62,0.033,0.682,0.292,961,371,156.038,0.173
63,1.245,5.094,1.995,1060,433,59.621,0.865
64,0.022,0.580,0.274,914,381,139.399,0.136
65,0.044,0.790,0.305,31,390,150.945,0.220
66,0.104,1.346,0.525,951,402,137.291,0.294
67,0.422,2.729,0.889,243,405,115.710,0.682
68,0.041,0.758,0.320,901,409,158.199,0.178
