 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,0.684,7.341,1.920,763,2,2.083,0.802
2,0.243,2.712,0.766,830,48,59.931,0.560
3,0.992,9.357,1.733,697,84,130.101,1.291
4,0.123,1.397,0.533,576,134,31.608,0.349
5,0.124,2.100,0.610,975,146,30.964,0.454
6,0.827,4.923,1.389,1,178,64.722,1.012
7,0.863,7.521,2.061,726,209,61.699,0.746
8,0.398,4.101,1.148,256,175,19.537,0.764
9,0.129,1.348,0.503,1013,203,56.310,0.384
10,0.131,1.734,0.617,1845,202,137.291,0.430
11,5.366,18.321,4.167,922,208,115.278,3.123
12,1.219,8.486,2.122,804,213,170.538,1.080
13,0.213,3.099,0.862,45,236,31.759,0.484
14,1.690,11.707,2.884,242,292,55.349,1.171
15,0.124,2.030,0.572,1056,243,37.569,0.389
16,0.289,2.239,0.821,568,249,12.265,0.558
17,0.510,6.543,1.336,619,246,130.764,0.786
18,0.467,2.925,1.014,1080,272,49.185,0.802
19,0.090,1.998,0.755,246,301,33.690,0.329
20,0.114,1.458,0.545,122,305,39.806,0.349
21,0.274,2.753,0.746,4,318,79.216,0.585
22,0.084,1.298,0.468,1059,312,26.565,0.279
23,0.631,4.038,1.233,6,343,25.115,0.829
24,0.108,1.266,0.454,744,335,67.380,0.370
25,0.085,1.159,0.469,802,336,48.013,0.296
26,0.303,3.419,1.021,126,344,172.147,0.539
27,0.088,1.188,0.420,537,350,41.634,0.314
28,0.135,2.100,0.706,1726,348,110.225,0.419
29,0.085,1.554,0.469,1513,351,138.013,0.368
30,1.463,7.737,2.104,285,408,49.708,1.232
31,0.523,3.221,1.084,750,390,56.821,0.802
32,0.201,2.129,0.693,1710,363,139.086,0.534
33,0.332,2.605,0.894,1743,372,128.660,0.720
34,0.717,5.333,1.373,1650,408,27.216,0.926
35,1.031,5.222,1.484,773,448,60.422,1.086
36,0.116,1.693,0.643,259,433,49.399,0.359
37,0.282,3.201,0.952,1723,424,118.443,0.567
38,0.190,3.674,0.729,1779,437,106.699,0.565
39,1.461,9.772,2.220,1096,438,98.130,1.422
40,0.099,2.774,0.658,1049,459,32.005,0.454
41,0.345,4.821,1.162,1165,446,131.348,0.641
42,0.145,2.523,0.753,1650,452,103.392,0.414
43,0.624,5.695,1.507,1632,481,95.315,1.019
44,0.515,4.159,1.103,1726,506,145.305,0.821
45,0.108,1.409,0.500,478,509,155.225,0.341
46,0.701,4.076,1.126,1132,528,16.189,0.985
47,0.085,1.504,0.437,1203,534,28.610,0.349
48,0.105,1.508,0.572,1001,541,52.431,0.330
49,0.481,5.047,1.186,808,537,118.072,0.816
50,0.222,2.120,0.712,794,553,101.310,0.485
51,0.158,5.996,1.239,277,559,122.347,0.435
52,0.090,4.147,0.875,290,589,113.499,0.343
53,0.223,2.432,0.953,1201,590,113.749,0.419
54,0.439,4.438,1.203,1257,612,106.858,0.799
55,0.208,2.535,0.734,1331,638,25.346,0.523
56,0.215,2.137,0.641,894,645,112.380,0.574
57,0.161,2.614,0.652,1630,646,105.524,0.419
58,0.274,2.309,0.766,1587,667,59.931,0.593
59,1.150,6.829,1.545,556,711,71.565,1.248
60,0.090,1.635,0.564,1328,676,21.801,0.244
61,5.541,13.411,3.470,242,769,74.846,2.697
62,0.400,10.125,2.831,337,672,112.457,0.383
63,0.140,1.862,0.602,1545,688,169.992,0.457
64,0.217,4.019,0.784,1381,709,20.854,0.628
65,0.096,1.188,0.465,1102,717,77.005,0.314
66,0.129,2.001,0.729,1251,718,106.699,0.349
67,0.119,2.187,0.552,1353,726,145.305,0.384
68,0.110,1.981,0.519,1274,754,70.346,0.384
69,0.754,7.487,1.491,927,778,20.556,1.134
70,0.644,5.910,1.376,858,800,59.534,1.022
71,0.234,3.070,0.881,848,839,56.310,0.617
72,0.241,2.876,0.698,298,828,126.870,0.592
73,0.096,1.208,0.454,1243,832,112.620,0.279
