 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,0.007,0.400,0.188,559,40,101.310,0.037
2,0.055,0.870,0.318,3,69,125.538,0.258
3,0.266,2.078,0.771,37,116,163.301,0.508
4,0.030,0.691,0.298,558,224,29.745,0.185
5,0.012,0.418,0.165,564,224,116.565,0.131
6,0.218,1.909,0.687,246,250,126.254,0.495
7,0.083,1.039,0.413,94,307,26.565,0.258
8,0.067,1.174,0.473,152,310,141.340,0.266
9,0.034,0.639,0.266,74,376,33.690,0.185
10,0.109,1.269,0.473,197,384,51.340,0.369
11,0.014,0.387,0.165,170,390,153.435,0.111
12,0.076,1.152,0.432,101,406,19.983,0.258
13,0.005,0.209,0.104,217,406,135.000,0.074
14,0.042,0.870,0.369,432,442,143.130,0.199
15,0.012,0.356,0.157,390,460,135.000,0.111
16,0.138,1.448,0.529,94,494,155.225,0.369
17,0.730,4.098,1.554,577,623,85.914,0.628
18,0.277,1.991,0.669,103,618,6.340,0.591
19,0.232,1.856,0.713,289,645,158.749,0.455
20,0.119,1.352,0.497,376,657,48.013,0.350
21,0.067,0.996,0.364,366,652,113.962,0.258
22,1.799,7.947,2.506,278,660,136.193,1.264
23,0.195,1.730,0.614,99,676,32.735,0.480
24,0.020,0.491,0.199,570,674,68.199,0.148
25,0.703,4.908,1.653,21,676,150.573,0.867
26,0.131,1.604,0.601,79,689,42.510,0.420
27,0.012,0.409,0.185,272,681,143.130,0.111
28,0.428,2.796,1.098,251,730,19.654,0.617
29,0.031,0.661,0.288,385,822,39.806,0.185
30,0.226,1.995,0.782,123,831,160.710,0.406
31,0.007,0.313,0.117,432,829,108.435,0.104
32,1.028,4.825,1.485,176,875,55.125,1.155
33,0.005,0.209,0.104,42,883,135.000,0.074
34,0.008,0.283,0.133,216,894,146.310,0.074
35,0.157,1.478,0.549,208,901,160.346,0.406
36,0.093,1.183,0.446,396,897,114.444,0.348
37,0.010,0.356,0.165,51,998,63.435,0.074
38,0.063,1.048,0.446,76,1004,155.556,0.239
39,0.052,0.861,0.364,308,1021,156.038,0.185
40,0.038,0.796,0.281,235,1067,156.801,0.221
41,0.082,1.143,0.467,26,1091,108.435,0.258
42,0.608,3.426,1.232,242,1100,171.384,0.896
43,0.109,1.656,0.713,351,1107,21.251,0.281
44,0.571,4.678,1.129,247,1160,78.690,0.934
45,0.035,0.661,0.266,219,1138,56.310,0.185
46,0.067,1.017,0.380,166,1136,150.945,0.258
47,0.491,2.947,1.156,344,1154,16.699,0.672
48,0.773,3.695,1.280,83,1159,146.768,0.816
49,0.014,0.387,0.165,256,1160,153.435,0.111
50,0.135,1.478,0.601,289,1175,169.380,0.332
51,0.005,0.261,0.117,47,1173,161.565,0.074
52,0.804,3.651,1.240,114,1200,36.529,0.996
53,1.853,8.896,2.378,285,1261,62.241,1.289
54,0.033,0.713,0.266,357,1208,33.690,0.215
55,0.018,0.483,0.199,331,1224,158.199,0.111
56,0.074,1.026,0.398,236,1232,21.801,0.295
57,1.021,4.942,1.396,245,1274,142.524,1.218
58,2.577,8.999,3.235,350,1315,163.426,1.384
59,0.784,5.315,2.263,192,1328,5.618,0.611
60,0.632,3.147,1.058,156,1361,29.249,0.821
61,0.123,1.300,0.463,260,1362,151.390,0.394
62,0.563,3.891,1.425,337,1363,148.782,0.650
63,0.795,3.756,1.426,209,1388,21.251,0.788
64,0.033,0.744,0.281,300,1384,156.801,0.221
65,0.680,3.839,1.262,396,1400,20.556,0.858
66,0.305,2.283,0.830,474,1439,69.146,0.600
67,0.007,0.261,0.133,435,1421,146.310,0.074
68,0.683,4.217,1.413,418,1428,146.725,0.783
69,0.705,3.804,1.411,394,1442,132.879,0.761
70,2.369,9.294,2.827,302,1506,40.764,1.593
71,0.367,2.469,0.946,225,1476,159.444,0.517
72,0.029,0.587,0.248,102,1504,26.565,0.148
73,0.350,3.291,1.051,311,1522,18.435,0.710
74,0.835,5.234,1.760,60,1550,9.660,0.789
75,1.686,7.299,2.435,228,1569,14.036,1.352
76,0.010,0.313,0.157,233,1550,135.000,0.104
77,0.005,0.283,0.133,203,1599,146.310,0.074
78,0.431,2.683,1.004,265,1625,162.897,0.585
79,1.089,4.487,1.503,450,1662,65.323,1.044
80,0.308,2.903,1.227,571,1660,74.291,0.369
81,0.007,0.283,0.133,518,1634,146.310,0.074
82,1.690,6.312,2.047,282,1682,25.641,1.454
83,0.019,0.513,0.248,503,1662,26.565,0.111
84,0.142,1.635,0.601,31,1672,169.380,0.357
85,0.650,4.130,1.263,252,1682,142.125,0.946
86,0.065,0.996,0.413,387,1716,10.305,0.221
87,0.837,4.127,1.322,277,1746,35.910,0.957
88,0.026,0.639,0.281,266,1731,156.801,0.148
89,0.045,0.861,0.376,155,1758,11.310,0.148
90,0.744,4.204,1.323,347,1801,120.141,0.935
91,0.804,3.739,1.315,436,1859,51.843,0.888
92,0.064,0.943,0.348,296,1893,57.995,0.295
93,0.020,0.661,0.281,481,1949,113.199,0.111
94,0.048,0.817,0.313,331,1971,45.000,0.221
95,0.104,1.196,0.445,386,1982,48.366,0.369
96,0.169,1.835,0.761,388,2009,39.094,0.355
97,0.439,2.778,1.028,167,2048,21.038,0.668
