 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.447,20.163,9.534,1318,23,6.023,0.362
2,0.019,0.543,0.254,1783,3,30.964,0.130
3,0.138,1.532,0.545,1822,18,61.390,0.391
4,0.087,1.075,0.428,1869,14,23.962,0.261
5,0.061,0.999,0.410,1793,17,57.995,0.252
6,0.019,0.579,0.254,2323,15,30.964,0.130
7,0.015,0.456,0.217,1810,15,143.130,0.123
8,0.042,0.851,0.317,1469,19,164.055,0.226
9,0.201,4.182,2.008,1250,27,4.970,0.157
10,0.011,0.369,0.157,1815,25,33.690,0.123
11,0.182,4.116,1.922,1202,30,5.194,0.190
12,2.785,12.161,2.673,2098,89,68.025,1.975
13,0.480,2.904,1.014,1621,33,120.964,0.702
14,0.422,7.178,3.329,1705,90,33.275,0.253
15,0.026,0.569,0.254,1551,57,120.964,0.130
16,1.311,4.994,1.948,1433,66,156.297,1.081
17,0.061,0.989,0.413,2078,70,71.565,0.217
18,0.019,0.492,0.195,1968,65,153.435,0.174
19,0.025,0.641,0.275,47,73,18.435,0.174
20,0.454,4.660,1.500,87,75,150.461,0.833
21,0.560,3.237,1.158,1851,78,124.287,0.739
22,0.032,0.753,0.308,2039,84,171.870,0.174
23,0.074,0.999,0.428,1791,84,156.038,0.261
24,0.013,0.456,0.195,1106,91,116.565,0.124
25,0.072,2.342,1.122,1681,106,35.538,0.157
26,0.541,3.063,1.001,1722,93,145.620,0.756
27,0.284,2.336,0.844,1547,103,168.111,0.519
28,0.131,1.937,0.858,119,97,120.466,0.272
29,0.070,0.963,0.374,1895,104,35.538,0.303
30,0.013,0.666,0.314,116,100,123.690,0.104
31,0.240,2.208,0.802,1762,101,139.399,0.520
32,1.774,7.284,2.331,2130,121,171.416,1.333
33,0.015,0.641,0.314,1666,116,33.690,0.109
34,0.011,0.395,0.195,82,115,26.565,0.087
35,0.115,1.347,0.507,1689,116,120.964,0.330
36,0.023,1.010,0.496,1650,127,37.875,0.104
37,0.032,0.840,0.372,111,132,20.556,0.158
38,0.025,1.035,0.496,1636,136,37.875,0.111
39,0.142,1.358,0.509,1815,131,160.017,0.391
40,0.057,0.912,0.359,120,131,165.964,0.261
41,1.538,6.565,2.187,1684,130,107.354,1.202
42,0.045,0.876,0.317,122,139,164.055,0.261
43,0.180,1.655,0.584,1222,150,63.435,0.478
44,0.185,1.542,0.567,1404,148,32.471,0.461
45,0.044,0.728,0.292,318,144,116.565,0.217
46,0.013,0.605,0.292,1589,163,26.565,0.097
47,0.032,0.666,0.292,86,162,153.435,0.174
48,0.019,0.518,0.217,2183,167,36.870,0.154
49,1.684,8.406,2.543,1754,223,77.152,1.296
50,0.363,2.342,0.844,2156,177,11.889,0.657
51,0.276,2.310,0.844,1281,171,124.509,0.568
52,0.066,0.952,0.389,1734,179,63.435,0.217
53,0.038,0.677,0.278,1391,174,128.660,0.214
54,0.106,1.235,0.496,1690,187,164.745,0.304
55,0.074,0.989,0.410,1854,184,147.995,0.261
56,0.028,0.630,0.275,1903,191,161.565,0.130
57,0.011,0.431,0.217,2174,191,143.130,0.092
58,0.089,1.199,0.470,1193,193,146.310,0.347
59,0.059,0.902,0.374,1829,199,54.462,0.261
60,0.161,1.557,0.615,1705,209,45.000,0.408
61,0.025,0.605,0.254,1722,205,59.036,0.158
62,0.028,1.025,0.486,1500,211,26.565,0.117
63,0.195,1.767,0.741,1270,220,49.764,0.420
64,0.087,1.686,0.802,2190,207,139.399,0.185
65,0.017,0.456,0.195,1175,213,26.565,0.130
66,1.175,5.210,1.595,1466,247,78.996,1.125
67,0.015,0.518,0.254,1492,215,30.964,0.117
68,0.047,0.815,0.292,1188,214,116.565,0.261
69,0.013,0.395,0.157,2171,214,123.690,0.130
70,0.015,0.569,0.265,1771,215,170.538,0.087
71,0.011,0.431,0.217,1183,223,36.870,0.097
72,0.032,0.605,0.254,1737,226,30.964,0.174
73,0.011,0.369,0.157,2191,227,33.690,0.123
74,0.045,0.753,0.292,1924,228,153.435,0.217
75,0.019,0.456,0.195,2170,228,153.435,0.130
76,0.093,1.209,0.496,2215,231,142.125,0.283
77,0.028,0.615,0.234,1765,233,111.801,0.185
78,0.501,3.560,1.343,187,249,24.905,0.564
79,0.204,1.752,0.652,2182,245,36.870,0.461
80,0.021,0.702,0.340,1436,244,39.806,0.121
81,0.036,0.666,0.292,2034,240,153.435,0.174
82,0.121,1.394,0.529,1398,254,80.538,0.347
83,0.615,3.201,1.091,2240,250,156.501,0.822
84,0.013,0.518,0.254,1428,249,30.964,0.109
85,0.125,1.506,0.557,2172,248,141.340,0.391
86,0.238,1.814,0.681,1066,254,153.435,0.523
87,0.017,0.518,0.254,1421,254,30.964,0.117
88,0.038,0.789,0.317,924,259,74.055,0.217
89,0.028,0.605,0.275,150,254,161.565,0.130
90,0.042,0.728,0.292,2204,255,153.435,0.217
