,"Sample 
Number 
 
","Elapsed 
Time 
 
"," 
Notes 
 
","Flow 
F1 
 
[l/min]","Solenoid 
Valve 
 
[I/O]","Solenoid 
Valve 
Position 
","Pump 
Speed 
 
[%]","PID A 
Proportional 
Band 
[%]","PID A 
Integral 
Time 
[s]","PID A 
Derivative 
Time 
[s]","PID A 
Set 
Point 
","PID A 
Controller 
Output 
[%]"
,1,00:00,,1.53,1,Closed,50,100,30,0,1.5,0
,2,00:00,,1.48,1,Closed,50,100,30,0,1.5,0
,3,00:01,,1.48,1,Closed,50,100,30,0,1.5,0
,4,00:01,,1.48,1,Closed,50,100,30,0,1.5,0
,5,00:01,,1.47,1,Closed,50,100,30,0,1.5,0
,6,00:01,,1.47,1,Closed,50,100,30,0,1.5,0
,7,00:02,,1.51,1,Closed,50,100,30,0,1.5,0
,8,00:02,,1.51,1,Closed,50,100,30,0,1.5,0
,9,00:02,,1.50,1,Closed,50,100,30,0,1.5,0
,10,00:02,,1.50,1,Closed,50,100,30,0,1.5,0
,11,00:03,,1.49,1,Closed,50,100,30,0,1.5,0
,12,00:03,,1.49,1,Closed,50,100,30,0,1.5,0
,13,00:03,,1.51,1,Closed,50,100,30,0,1.5,0
,14,00:03,,1.51,1,Closed,50,100,30,0,1.5,0
,15,00:04,,1.49,1,Closed,50,100,30,0,1.5,0
,16,00:04,,1.49,1,Closed,50,100,30,0,1.5,0
,17,00:04,,1.49,1,Closed,50,100,30,0,1.5,0
,18,00:04,,1.49,1,Closed,50,100,30,0,1.5,0
,19,00:05,,1.49,1,Closed,50,100,30,0,1.5,0
,20,00:05,,1.49,1,Closed,50,100,30,0,1.5,0
,21,00:05,,1.50,1,Closed,50,100,30,0,1.5,0
,22,00:06,,1.48,1,Closed,50,100,30,0,1.5,0
,23,00:06,,1.48,1,Closed,50,100,30,0,1.5,0
,24,00:06,,1.50,1,Closed,50,100,30,0,1.5,0
,25,00:06,,1.50,1,Closed,50,100,30,0,1.5,0
,26,00:07,,1.49,1,Closed,50,100,30,0,1.5,0
,27,00:07,,1.49,1,Closed,50,100,30,0,1.5,0
,28,00:07,,1.48,1,Closed,50,100,30,0,1.5,0
,29,00:07,,1.48,1,Closed,50,100,30,0,1.5,0
,30,00:08,,1.50,1,Closed,50,100,30,0,1.5,0
,31,00:08,,1.50,1,Closed,50,100,30,0,1.5,0
,32,00:08,,1.48,1,Closed,50,100,30,0,1.5,0
,33,00:08,,1.47,1,Closed,50,100,30,0,1.5,0
,34,00:09,,1.49,1,Closed,50,100,30,0,1.5,0
,35,00:09,,1.49,1,Closed,50,100,30,0,1.5,0
,36,00:09,,1.51,1,Closed,50,100,30,0,1.5,0
,37,00:09,,1.50,1,Closed,50,100,30,0,1.5,0
,38,00:10,,1.48,1,Closed,50,100,30,0,1.5,0
,39,00:10,,1.48,1,Closed,50,100,30,0,1.5,0
,40,00:10,,1.47,1,Closed,50,100,30,0,1.5,0
,41,00:11,,1.47,1,Closed,50,100,30,0,1.5,0
,42,00:11,,1.50,1,Closed,50,100,30,0,1.5,0
,43,00:11,,1.49,1,Closed,50,100,30,0,1.5,0
,44,00:11,,1.49,1,Closed,50,100,30,0,1.5,0
,45,00:12,,1.48,1,Closed,50,100,30,0,1.5,0
,46,00:12,,1.48,1,Closed,50,100,30,0,1.5,0
,47,00:12,,1.47,1,Closed,50,100,30,0,1.5,0
,48,00:12,,1.47,1,Closed,50,100,30,0,1.5,0
,49,00:13,,1.49,1,Closed,50,100,30,0,1.5,0
,50,00:13,,1.49,1,Closed,50,100,30,0,1.5,0
,51,00:13,,1.50,1,Closed,50,100,30,0,1.5,0
,52,00:13,,1.50,1,Closed,50,100,30,0,1.5,0
,53,00:14,,1.50,1,Closed,50,100,30,0,1.5,0
,54,00:14,,1.50,1,Closed,50,100,30,0,1.5,0
,55,00:14,,1.49,1,Closed,50,100,30,0,1.5,0
,56,00:14,,1.49,1,Closed,50,100,30,0,1.5,0
,57,00:15,,1.50,1,Closed,50,100,30,0,1.5,0
,58,00:15,,1.50,1,Closed,50,100,30,0,1.5,0
,59,00:15,,1.49,1,Closed,50,100,30,0,1.5,0
,60,00:16,,1.49,1,Closed,50,100,30,0,1.5,0
,61,00:16,,1.50,1,Closed,50,100,30,0,1.5,0
,62,00:16,,1.50,1,Closed,50,100,30,0,1.5,0
,63,00:16,,1.46,1,Closed,50,100,30,0,1.5,0
,64,00:17,,1.46,1,Closed,50,100,30,0,1.5,0
,65,00:17,,1.50,1,Closed,50,100,30,0,1.5,0
,66,00:17,,1.50,1,Closed,50,100,30,0,1.5,0
,67,00:17,,1.50,1,Closed,50,100,30,0,1.5,0
,68,00:18,,1.49,1,Closed,50,100,30,0,1.5,0
,69,00:18,,1.48,1,Closed,50,100,30,0,1.5,0
,70,00:18,,1.51,1,Closed,50,100,30,0,1.5,0
,71,00:18,,1.51,1,Closed,50,100,30,0,1.5,0
,72,00:19,,1.49,1,Closed,50,100,30,0,1.5,0
,73,00:19,,1.49,1,Closed,50,100,30,0,1.5,0
,74,00:19,,1.49,1,Closed,50,100,30,0,1.5,0
,75,00:19,,1.49,1,Closed,50,100,30,0,1.5,0
,76,00:20,,1.49,1,Closed,50,100,30,0,1.5,0
,77,00:20,,1.49,1,Closed,50,100,30,0,1.5,0
,78,00:20,,1.50,1,Closed,50,100,30,0,1.5,0
,79,00:20,,1.50,1,Closed,50,100,30,0,1.5,0
,80,00:21,,1.49,1,Closed,50,100,30,0,1.5,0
,81,00:21,,1.49,1,Closed,50,100,30,0,1.5,0
,82,00:21,,1.50,1,Closed,50,100,30,0,1.5,0
,83,00:21,,1.50,1,Closed,50,100,30,0,1.5,0
,84,00:22,,1.49,1,Closed,50,100,30,0,1.5,0
,85,00:22,,1.49,1,Closed,50,100,30,0,1.5,0
,86,00:22,,1.48,1,Closed,50,100,30,0,1.5,0
,87,00:23,,1.47,1,Closed,50,100,30,0,1.5,0
,88,00:23,,1.46,1,Closed,50,100,30,0,1.5,0
,89,00:23,,1.46,1,Closed,50,100,30,0,1.5,0
,90,00:23,,1.48,1,Closed,50,100,30,0,1.5,0
,91,00:24,,1.48,1,Closed,50,100,30,0,1.5,0
,92,00:24,,1.49,1,Closed,50,100,30,0,1.5,0
,93,00:24,,1.49,1,Closed,50,100,30,0,1.5,0
,94,00:24,,1.49,1,Closed,50,100,30,0,1.5,0
,95,00:25,,1.49,1,Closed,50,100,30,0,1.5,0
,96,00:25,,1.50,1,Closed,50,100,30,0,1.5,0
,97,00:25,,1.50,1,Closed,50,100,30,0,1.5,0
,98,00:25,,1.50,1,Closed,50,100,30,0,1.5,0
,99,00:26,,1.51,1,Closed,50,100,30,0,1.5,0
,100,00:26,,1.51,1,Closed,50,100,30,0,1.5,0
,101,00:26,,1.33,0,Open,50,100,30,0,1.5,0
,102,00:26,,1.33,0,Open,50,100,30,0,1.5,0
,103,00:27,,1.34,0,Open,50,100,30,0,1.5,0
,104,00:27,,1.34,0,Open,50,100,30,0,1.5,0
,105,00:27,,1.33,0,Open,50,100,30,0,1.5,0
,106,00:28,,1.34,0,Open,50,100,30,0,1.5,0
,107,00:28,,1.33,0,Open,50,100,30,0,1.5,0
,108,00:28,,1.33,0,Open,50,100,30,0,1.5,0
,109,00:28,,1.36,0,Open,50,100,30,0,1.5,0
,110,00:29,,1.36,0,Open,50,100,30,0,1.5,0
,111,00:29,,1.34,0,Open,50,100,30,0,1.5,0
,112,00:29,,1.35,0,Open,50,100,30,0,1.5,0
,113,00:29,,1.34,0,Open,50,100,30,0,1.5,0
,114,00:30,,1.34,0,Open,50,100,30,0,1.5,0
,115,00:30,,1.30,0,Open,50,100,30,0,1.5,0
,116,00:30,,1.30,0,Open,50,100,30,0,1.5,0
,117,00:30,,1.33,0,Open,50,100,30,0,1.5,0
,118,00:31,,1.33,0,Open,50,100,30,0,1.5,0
,119,00:31,,1.34,0,Open,50,100,30,0,1.5,0
,120,00:31,,1.34,0,Open,50,100,30,0,1.5,0
,121,00:31,,1.34,0,Open,50,100,30,0,1.5,0
,122,00:32,,1.33,0,Open,50,100,30,0,1.5,0
,123,00:32,,1.32,0,Open,50,100,30,0,1.5,0
,124,00:32,,1.35,0,Open,50,100,30,0,1.5,0
,125,00:33,,1.35,0,Open,50,100,30,0,1.5,0
,126,00:33,,1.35,0,Open,50,100,30,0,1.5,0
,127,00:33,,1.35,0,Open,50,100,30,0,1.5,0
,128,00:33,,1.34,0,Open,50,100,30,0,1.5,0
,129,00:34,,1.34,0,Open,50,100,30,0,1.5,0
,130,00:34,,1.36,0,Open,50,100,30,0,1.5,0
,131,00:34,,1.36,0,Open,50,100,30,0,1.5,0
,132,00:34,,1.34,0,Open,50,100,30,0,1.5,0
,133,00:35,,1.34,0,Open,50,100,30,0,1.5,0
,134,00:35,,1.33,0,Open,50,100,30,0,1.5,0
,135,00:35,,1.33,0,Open,50,100,30,0,1.5,0
,136,00:35,,1.35,0,Open,50,100,30,0,1.5,0
,137,00:36,,1.35,0,Open,50,100,30,0,1.5,0
,138,00:36,,1.34,0,Open,50,100,30,0,1.5,0
,139,00:36,,1.34,0,Open,50,100,30,0,1.5,0
,140,00:36,,1.31,0,Open,50,100,30,0,1.5,0
,141,00:37,,1.31,0,Open,50,100,30,0,1.5,0
,142,00:37,,1.34,0,Open,50,100,30,0,1.5,0
,143,00:37,,1.34,0,Open,50,100,30,0,1.5,0
,144,00:37,,1.33,0,Open,50,100,30,0,1.5,0
,145,00:38,,1.32,0,Open,50,100,30,0,1.5,0
,146,00:38,,1.35,0,Open,50,100,30,0,1.5,0
,147,00:38,,1.35,0,Open,50,100,30,0,1.5,0
,148,00:39,,1.33,0,Open,50,100,30,0,1.5,0
,149,00:39,,1.34,0,Open,50,100,30,0,1.5,0
,150,00:39,,1.34,0,Open,50,100,30,0,1.5,0
,151,00:39,,1.34,0,Open,50,100,30,0,1.5,0
,152,00:40,,1.34,0,Open,50,100,30,0,1.5,0
,153,00:40,,1.33,0,Open,50,100,30,0,1.5,0
,154,00:40,,1.33,0,Open,50,100,30,0,1.5,0
,155,00:40,,1.33,0,Open,50,100,30,0,1.5,0
,156,00:41,,1.33,0,Open,50,100,30,0,1.5,0
,157,00:41,,1.30,0,Open,50,100,30,0,1.5,0
,158,00:41,,1.30,0,Open,50,100,30,0,1.5,0
,159,00:41,,1.33,0,Open,50,100,30,0,1.5,0
,160,00:42,,1.33,0,Open,50,100,30,0,1.5,0
,161,00:42,,1.33,0,Open,50,100,30,0,1.5,0
,162,00:42,,1.33,0,Open,50,100,30,0,1.5,0
,163,00:42,,1.35,0,Open,50,100,30,0,1.5,0
,164,00:43,,1.35,0,Open,50,100,30,0,1.5,0
,165,00:43,,1.31,0,Open,50,100,30,0,1.5,0
,166,00:43,,1.31,0,Open,50,100,30,0,1.5,0
,167,00:44,,1.33,0,Open,50,100,30,0,1.5,0
,168,00:44,,1.33,0,Open,50,100,30,0,1.5,0
,169,00:44,,1.32,0,Open,50,100,30,0,1.5,0
,170,00:44,,1.32,0,Open,50,100,30,0,1.5,0
,171,00:45,,1.32,0,Open,50,100,30,0,1.5,0
,172,00:45,,1.34,0,Open,50,100,30,0,1.5,0
,173,00:45,,1.34,0,Open,50,100,30,0,1.5,0
,174,00:45,,1.34,0,Open,50,100,30,0,1.5,0
,175,00:46,,1.34,0,Open,50,100,30,0,1.5,0
,176,00:46,,1.32,0,Open,50,100,30,0,1.5,0
,177,00:46,,1.32,0,Open,50,100,30,0,1.5,0
,178,00:46,,1.36,0,Open,50,100,30,0,1.5,0
,179,00:47,,1.36,0,Open,50,100,30,0,1.5,0
,180,00:47,,1.33,0,Open,50,100,30,0,1.5,0
,181,00:47,,1.33,0,Open,50,100,30,0,1.5,0
,182,00:47,,1.33,0,Open,50,100,30,0,1.5,0
,183,00:48,,1.34,0,Open,50,100,30,0,1.5,0
,184,00:48,,1.31,0,Open,50,100,30,0,1.5,0
,185,00:48,,1.31,0,Open,50,100,30,0,1.5,0
,186,00:48,,1.35,0,Open,50,100,30,0,1.5,0
,187,00:49,,1.35,0,Open,50,100,30,0,1.5,0
,188,00:49,,1.33,0,Open,50,100,30,0,1.5,0
,189,00:49,,1.32,0,Open,50,100,30,0,1.5,0
,190,00:50,,1.35,0,Open,50,100,30,0,1.5,0
,191,00:50,,1.35,0,Open,50,100,30,0,1.5,0
,192,00:50,,1.35,0,Open,50,100,30,0,1.5,0
,193,00:50,,1.35,0,Open,50,100,30,0,1.5,0
,194,00:51,,1.35,0,Open,50,100,30,0,1.5,0
,195,00:51,,1.35,0,Open,50,100,30,0,1.5,0
,196,00:51,,1.34,0,Open,50,100,30,0,1.5,0
,197,00:51,,1.35,0,Open,50,100,30,0,1.5,0
,198,00:52,,1.35,0,Open,50,100,30,0,1.5,0
,199,00:52,,1.33,0,Open,50,100,30,0,1.5,0
,200,00:52,,1.33,0,Open,50,100,30,0,1.5,0
,201,00:52,,1.35,0,Open,50,100,30,0,1.5,0
,202,00:53,,1.35,0,Open,50,100,30,0,1.5,0
,203,00:53,,1.32,0,Open,50,100,30,0,1.5,0
,204,00:53,,1.32,0,Open,50,100,30,0,1.5,0
,205,00:53,,1.33,0,Open,50,100,30,0,1.5,0
,206,00:54,,1.33,0,Open,50,100,30,0,1.5,0
,207,00:54,,1.33,0,Open,50,100,30,0,1.5,0
,208,00:54,,1.33,0,Open,50,100,30,0,1.5,0
,209,00:54,,1.34,0,Open,50,100,30,0,1.5,0
,210,00:55,,1.34,0,Open,50,100,30,0,1.5,0
,211,00:55,,1.33,0,Open,50,100,30,0,1.5,0
,212,00:55,,1.32,0,Open,50,100,30,0,1.5,0
,213,00:56,,1.34,0,Open,50,100,30,0,1.5,0
,214,00:56,,1.34,0,Open,50,100,30,0,1.5,0
,215,00:56,,1.35,0,Open,50,100,30,0,1.5,0
,216,00:56,,1.35,0,Open,50,100,30,0,1.5,0
,217,00:57,,1.33,0,Open,50,100,30,0,1.5,0
,218,00:57,,1.33,0,Open,50,100,30,0,1.5,0
,219,00:57,,1.32,0,Open,50,100,30,0,1.5,0
,220,00:57,,1.33,0,Open,50,100,30,0,1.5,0
