,"Sample 
Number 
 
","Elapsed 
Time 
 
"," 
Notes 
 
","Flow 
F1 
 
[l/min]","Solenoid 
Valve 
 
[I/O]","Solenoid 
Valve 
Position 
","Pump 
Speed 
 
[%]","PID A 
Proportional 
Band 
[%]","PID A 
Integral 
Time 
[s]","PID A 
Derivative 
Time 
[s]","PID A 
Set 
Point 
","PID A 
Controller 
Output 
[%]"
,1,00:00,,0.00,1,Closed,0,110,0,0,1.5,0
,2,00:01,,0.00,1,Closed,0,110,0,0,1.5,0
,3,00:01,,0.00,1,Closed,0,110,0,0,1.5,0
,4,00:01,,0.00,1,Closed,0,110,0,0,1.5,0
,5,00:01,,0.00,1,Closed,0,110,0,0,1.5,0
,6,00:02,,0.00,1,Closed,0,110,0,0,1.5,0
,7,00:02,,0.00,1,Closed,0,110,0,0,1.5,0
,8,00:02,,0.00,1,Closed,0,110,0,0,1.5,0
,9,00:02,,0.00,1,Closed,0,110,0,0,1.5,0
,10,00:03,,0.00,1,Closed,0,110,0,0,1.5,0
,11,00:03,,0.00,1,Closed,0,110,0,0,1.5,0
,12,00:03,,0.00,1,Closed,0,110,0,0,1.5,0
,13,00:03,,0.00,1,Closed,0,110,0,0,1.5,0
,14,00:04,,0.00,1,Closed,0,110,0,0,1.5,0
,15,00:04,,0.00,1,Closed,0,110,0,0,1.5,0
,16,00:04,,0.00,1,Closed,0,110,0,0,1.5,0
,17,00:04,,0.00,1,Closed,0,110,0,0,1.5,0
,18,00:05,,0.00,1,Closed,0,110,0,0,1.5,0
,19,00:05,,0.00,1,Closed,0,110,0,0,1.5,0
,20,00:05,,0.00,1,Closed,0,110,0,0,1.5,0
,21,00:05,,0.00,1,Closed,0,110,0,0,1.5,0
,22,00:06,,0.00,1,Closed,0,110,0,0,1.5,0
,23,00:06,,0.00,1,Closed,0,110,0,0,1.5,0
,24,00:06,,0.00,1,Closed,0,110,0,0,1.5,0
,25,00:06,,0.00,1,Closed,0,110,0,0,1.5,0
,26,00:07,,0.00,1,Closed,0,110,0,0,1.5,0
,27,00:07,,0.00,1,Closed,0,110,0,0,1.5,0
,28,00:07,,0.00,1,Closed,0,110,0,0,1.5,0
,29,00:08,,0.00,1,Closed,0,110,0,0,1.5,0
,30,00:08,,0.00,1,Closed,0,110,0,0,1.5,0
,31,00:08,,0.00,1,Closed,0,110,0,0,1.5,0
,32,00:08,,0.00,1,Closed,0,110,0,0,1.5,0
,33,00:09,,0.00,1,Closed,0,110,0,0,1.5,0
