Temperature (K), Alpha^2
2.870000000000000000e+02,2.608990351473998159e-01
2.870560560560560361e+02,2.613015994264757391e-01
2.871121121121121291e+02,2.617056597372823812e-01
2.871681681681681653e+02,2.621112187862007503e-01
2.872242242242242014e+02,2.625182877746195520e-01
2.872802802802802944e+02,2.629268753923592605e-01
2.873363363363363305e+02,2.633369908914470758e-01
2.873923923923923667e+02,2.637486437800245498e-01
2.874484484484484597e+02,2.641618436897899547e-01
2.875045045045044958e+02,2.645765999264111379e-01
2.875605605605605888e+02,2.649929225649548248e-01
2.876166166166166249e+02,2.654108215045494767e-01
2.876726726726726611e+02,2.658303057252381363e-01
2.877287287287287540e+02,2.662513864212298076e-01
2.877847847847847902e+02,2.666740728292880669e-01
2.878408408408408263e+02,2.670983757685200244e-01
2.878968968968969193e+02,2.675243044519761138e-01
2.879529529529529555e+02,2.679518697526234172e-01
2.880090090090089916e+02,2.683810838502953544e-01
2.880650650650650846e+02,2.688119547066947779e-01
2.881211211211211207e+02,2.692444950194444742e-01
2.881771771771771569e+02,2.696787143993602531e-01
2.882332332332332498e+02,2.701146231579826806e-01
2.882892892892892860e+02,2.705522007484679747e-01
2.883453453453453221e+02,2.709915157516873951e-01
2.884014014014014151e+02,2.714325528957853284e-01
2.884574574574574513e+02,2.718753473848264934e-01
2.885135135135134874e+02,2.723198544277971589e-01
2.885695695695695804e+02,2.727661194645646936e-01
2.886256256256256165e+02,2.732141536751447330e-01
2.886816816816817095e+02,2.736639675867499899e-01
2.887377377377377456e+02,2.741155723932954258e-01
2.887937937937937818e+02,2.745689823405788599e-01
2.888498498498498748e+02,2.750242066375463978e-01
2.889059059059059109e+02,2.754812571928281772e-01
2.889619619619619471e+02,2.759401448060970763e-01
2.890180180180180400e+02,2.764009077883945453e-01
2.890740740740740762e+02,2.768634901952583549e-01
2.891301301301301123e+02,2.773279955346361625e-01
2.891861861861862053e+02,2.777943305289617415e-01
2.892422422422422414e+02,2.782625965286402714e-01
2.892982982982982776e+02,2.787327758242505449e-01
2.893543543543543706e+02,2.792048812674033931e-01
2.894104104104104067e+02,2.796789260649697462e-01
2.894664664664664429e+02,2.801549234406628952e-01
2.895225225225225358e+02,2.806328864219619357e-01
2.895785785785785720e+02,2.811128286275860755e-01
2.896346346346346081e+02,2.815947636654558273e-01
2.896906906906907011e+02,2.820787048881924775e-01
2.897467467467467372e+02,2.825646668114257798e-01
2.898028028028028302e+02,2.830526626187838679e-01
2.898588588588588664e+02,2.835427072294707251e-01
2.899149149149149025e+02,2.840348146498776205e-01
2.899709709709709955e+02,2.845289986964767981e-01
2.900270270270270316e+02,2.850252740693307030e-01
2.900830830830830678e+02,2.855236582945280821e-01
2.901391391391391608e+02,2.860241621292443637e-01
2.901951951951951969e+02,2.865268039245744136e-01
2.902512512512512330e+02,2.870315559631567703e-01
2.903073073073073260e+02,2.875385055846173543e-01
2.903633633633633622e+02,2.880476360085317267e-01
2.904194194194193983e+02,2.885589627197649998e-01
2.904754754754754913e+02,2.890725012922338300e-01
2.905315315315315274e+02,2.895882675824516528e-01
2.905875875875875636e+02,2.901062774767612096e-01
2.906436436436436566e+02,2.906265471723544214e-01
2.906996996996996927e+02,2.911490928043303783e-01
2.907557557557557288e+02,2.916739309111901490e-01
2.908118118118118218e+02,2.922010780538535357e-01
2.908678678678678580e+02,2.927305508861430816e-01
2.909239239239239510e+02,2.932623663225875643e-01
2.909799799799799871e+02,2.937965418002018159e-01
2.910360360360360232e+02,2.943330941065887552e-01
2.910920920920921162e+02,2.948720412470910990e-01
2.911481481481481524e+02,2.954134004859217955e-01
2.912042042042041885e+02,2.959571896830259230e-01
2.912602602602602815e+02,2.965034263303918394e-01
2.913163163163163176e+02,2.970521294386943012e-01
2.913723723723723538e+02,2.976033169239762355e-01
2.914284284284284468e+02,2.981570055245024720e-01
2.914844844844844829e+02,2.987132175598385952e-01
2.915405405405405190e+02,2.992719699285740775e-01
2.915965965965966120e+02,2.998332821921367852e-01
2.916526526526526482e+02,3.003971733166470037e-01
2.917087087087086843e+02,3.009636284476697177e-01
2.917647647647647773e+02,3.015327708947386776e-01
2.918208208208208134e+02,3.021045171847945299e-01
2.918768768768768496e+02,3.026789218327712305e-01
2.919329329329329425e+02,3.032560053223400387e-01
2.919889889889889787e+02,3.038357882061311632e-01
2.920450450450450717e+02,3.044182907534942473e-01
2.921011011011011078e+02,3.050035350652803290e-01
2.921571571571571440e+02,3.055915413841681083e-01
2.922132132132132369e+02,3.061823318604892652e-01
2.922692692692692731e+02,3.067759284259466424e-01
2.923253253253253092e+02,3.073723513983702138e-01
2.923813813813814022e+02,3.079716246455425632e-01
2.924374374374374383e+02,3.085737699230080566e-01
2.924934934934934745e+02,3.091788095820505178e-01
2.925495495495495675e+02,3.097867669451896955e-01
2.926056056056056036e+02,3.103976651574379964e-01
2.926616616616616398e+02,3.110115274192021273e-01
2.927177177177177327e+02,3.116283774876006385e-01
2.927737737737737689e+02,3.122482392774211801e-01
2.928298298298298050e+02,3.128711714597101068e-01
2.928858858858858980e+02,3.134971148166084132e-01
2.929419419419419341e+02,3.141261513993440779e-01
2.929979979979979703e+02,3.147582977959427764e-01
2.930540540540540633e+02,3.153935832283369933e-01
2.931101101101100994e+02,3.160320311101457169e-01
2.931661661661661924e+02,3.166736653630850551e-01
2.932222222222222285e+02,3.173185143486100812e-01
2.932782782782782647e+02,3.179666179206914189e-01
2.933343343343343577e+02,3.186179620239328880e-01
2.933903903903903938e+02,3.192726058559037794e-01
2.934464464464464299e+02,3.199305727040954728e-01
2.935025025025025229e+02,3.205918882203357412e-01
2.935585585585585591e+02,3.212565800754308420e-01
2.936146146146145952e+02,3.219246564634107854e-01
2.936706706706706882e+02,3.225962021058957907e-01
2.937267267267267243e+02,3.232711960857510558e-01
2.937827827827827605e+02,3.239496791667466624e-01
2.938388388388388535e+02,3.246316815162553771e-01
2.938948948948948896e+02,3.253172351916917560e-01
2.939509509509509257e+02,3.260063700598902492e-01
2.940070070070070187e+02,3.266991166362854249e-01
2.940630630630630549e+02,3.273955053830765460e-01
2.941191191191190910e+02,3.280955683327471117e-01
2.941751751751751840e+02,3.287993373994991253e-01
2.942312312312312201e+02,3.295068443196642605e-01
2.942872872872873131e+02,3.302181217524517987e-01
2.943433433433433493e+02,3.309332028315098428e-01
2.943993993993993854e+02,3.316521812180590612e-01
2.944554554554554784e+02,3.323749361674841474e-01
2.945115115115115145e+02,3.331016108362769845e-01
2.945675675675675507e+02,3.338322353603662140e-01
2.946236236236236437e+02,3.345668391028670530e-01
2.946796796796796798e+02,3.353054536893709803e-01
2.947357357357357159e+02,3.360481063662247303e-01
2.947917917917918089e+02,3.367948555314593251e-01
2.948478478478478451e+02,3.375457215227538055e-01
2.949039039039038812e+02,3.383008312060621359e-01
2.949599599599599742e+02,3.390599355001691073e-01
2.950160160160160103e+02,3.398233734883888135e-01
2.950720720720720465e+02,3.405910795713404382e-01
2.951281281281281395e+02,3.413630914986058862e-01
2.951841841841841756e+02,3.421394547075974346e-01
2.952402402402402686e+02,3.429201871235695864e-01
2.952962962962963047e+02,3.437053535037327689e-01
2.953523523523523409e+02,3.444949797959308557e-01
2.954084084084084338e+02,3.452891012351329003e-01
2.954644644644644700e+02,3.460878963653619134e-01
2.955205205205205061e+02,3.468911999596226425e-01
2.955765765765765991e+02,3.476991417279333696e-01
2.956326326326326353e+02,3.485117644530371095e-01
2.956886886886886714e+02,3.493291133765441536e-01
2.957447447447447644e+02,3.501512325025215033e-01
2.958008008008008005e+02,3.509781670763723604e-01
2.958568568568568367e+02,3.518099632134095156e-01
2.959129129129129296e+02,3.526466681826153082e-01
2.959689689689689658e+02,3.534883282560444262e-01
2.960250250250250019e+02,3.543349915250324500e-01
2.960810810810810949e+02,3.551867051651509954e-01
2.961371371371371310e+02,3.560435232727494070e-01
2.961931931931931672e+02,3.569055014831079564e-01
2.962492492492492602e+02,3.577726591045731208e-01
2.963053053053052963e+02,3.586450894376892462e-01
2.963613613613613325e+02,3.595228271540733544e-01
2.964174174174174254e+02,3.604058045739208516e-01
2.964734734734734616e+02,3.612942751343209968e-01
2.965295295295295546e+02,3.621882061439230527e-01
2.965855855855855907e+02,3.630876510192456719e-01
2.966416416416416268e+02,3.639926658458427777e-01
2.966976976976977198e+02,3.649033051022270713e-01
2.967537537537537560e+02,3.658196262783618424e-01
2.968098098098097921e+02,3.667416861717557874e-01
2.968658658658658851e+02,3.676695429435090090e-01
2.969219219219219212e+02,3.686032547626738043e-01
2.969779779779779574e+02,3.695428821694373700e-01
2.970340340340340504e+02,3.704884836217316457e-01
2.970900900900900865e+02,3.714401236209800006e-01
2.971461461461461226e+02,3.723978602238595115e-01
2.972022022022022156e+02,3.733617576838944574e-01
2.972582582582582518e+02,3.743318811018817027e-01
2.973143143143142879e+02,3.753082955238705720e-01
2.973703703703703809e+02,3.762910690938992553e-01
2.974264264264264170e+02,3.772802515386312061e-01
2.974824824824825100e+02,3.782759310945025821e-01
2.975385385385385462e+02,3.792781643898207045e-01
2.975945945945945823e+02,3.802870336291221398e-01
2.976506506506506753e+02,3.813025814293166671e-01
2.977067067067067114e+02,3.823249072635859225e-01
2.977627627627627476e+02,3.833540771214237752e-01
2.978188188188188406e+02,3.843901524561172955e-01
2.978748748748748767e+02,3.854332187329279624e-01
