Temperature (K), Alpha^2
2.870000000000000000e+02,3.256492313075619038e-01
2.870560560560560361e+02,3.261754448622258828e-01
2.871121121121121291e+02,3.267037252083864751e-01
2.871681681681681653e+02,3.272340859530246115e-01
2.872242242242242014e+02,3.277665404635733970e-01
2.872802802802802944e+02,3.283011022131707701e-01
2.873363363363363305e+02,3.288377851788015782e-01
2.873923923923923667e+02,3.293766030097610709e-01
2.874484484484484597e+02,3.299175697526770534e-01
2.875045045045044958e+02,3.304606994107497364e-01
2.875605605605605888e+02,3.310060061799764419e-01
2.876166166166166249e+02,3.315535684773733838e-01
2.876726726726726611e+02,3.321032445353441220e-01
2.877287287287287540e+02,3.326551529806798801e-01
2.877847847847847902e+02,3.332093011819898254e-01
2.878408408408408263e+02,3.337657054008412172e-01
2.878968968968969193e+02,3.343243778169767144e-01
2.879529529529529555e+02,3.348853314659802627e-01
2.880090090090089916e+02,3.354485811328891676e-01
2.880650650650650846e+02,3.360141316787135235e-01
2.881211211211211207e+02,3.365820200854805488e-01
2.881771771771771569e+02,3.371522600678233950e-01
2.882332332332332498e+02,3.377248644887503315e-01
2.882892892892892860e+02,3.382998969998303185e-01
2.883453453453453221e+02,3.388771536321656952e-01
2.884014014014014151e+02,3.394569093825955952e-01
2.884574574574574513e+02,3.400390875379759592e-01
2.885135135135134874e+02,3.406237045281892417e-01
2.885695695695695804e+02,3.412107756782630230e-01
2.886256256256256165e+02,3.418003194040574177e-01
2.886816816816817095e+02,3.423923510521815761e-01
2.887377377377377456e+02,3.429868852702609994e-01
2.887937937937937818e+02,3.435839409803622679e-01
2.888498498498498748e+02,3.441835343556165494e-01
2.889059059059059109e+02,3.447856819190580624e-01
2.889619619619619471e+02,3.453904842622894655e-01
2.890180180180180400e+02,3.459978231505718149e-01
2.890740740740740762e+02,3.466077752595596029e-01
2.891301301301301123e+02,3.472203591585321658e-01
2.891861861861862053e+02,3.478355930663954432e-01
2.892422422422422414e+02,3.484534959294059431e-01
2.892982982982982776e+02,3.490740864647077779e-01
2.893543543543543706e+02,3.496973837663599483e-01
2.894104104104104067e+02,3.503234070872300876e-01
